2019-09-08 15:04:01 startup archives install
2019-09-08 15:04:01 install base-passwd:armel <none> 3.5.43
2019-09-08 15:04:01 status half-installed base-passwd:armel 3.5.43
2019-09-08 15:04:01 status unpacked base-passwd:armel 3.5.43
2019-09-08 15:04:01 status unpacked base-passwd:armel 3.5.43
2019-09-08 15:04:01 configure base-passwd:armel 3.5.43 3.5.43
2019-09-08 15:04:01 status unpacked base-passwd:armel 3.5.43
2019-09-08 15:04:01 status half-configured base-passwd:armel 3.5.43
2019-09-08 15:04:03 status installed base-passwd:armel 3.5.43
2019-09-08 15:04:03 startup archives install
2019-09-08 15:04:03 install base-files:armel <none> 9.9+deb9u10
2019-09-08 15:04:03 status half-installed base-files:armel 9.9+deb9u10
2019-09-08 15:04:03 status unpacked base-files:armel 9.9+deb9u10
2019-09-08 15:04:03 status unpacked base-files:armel 9.9+deb9u10
2019-09-08 15:04:03 configure base-files:armel 9.9+deb9u10 9.9+deb9u10
2019-09-08 15:04:03 status unpacked base-files:armel 9.9+deb9u10
2019-09-08 15:04:03 status unpacked base-files:armel 9.9+deb9u10
2019-09-08 15:04:03 status unpacked base-files:armel 9.9+deb9u10
2019-09-08 15:04:03 status unpacked base-files:armel 9.9+deb9u10
2019-09-08 15:04:03 status unpacked base-files:armel 9.9+deb9u10
2019-09-08 15:04:03 status unpacked base-files:armel 9.9+deb9u10
2019-09-08 15:04:03 status unpacked base-files:armel 9.9+deb9u10
2019-09-08 15:04:03 status half-configured base-files:armel 9.9+deb9u10
2019-09-08 15:04:07 status installed base-files:armel 9.9+deb9u10
2019-09-08 15:04:07 startup archives install
2019-09-08 15:04:07 upgrade dpkg 1.18.25 1.18.25
2019-09-08 15:04:07 status half-configured dpkg 1.18.25
2019-09-08 15:04:07 status unpacked dpkg 1.18.25
2019-09-08 15:04:07 status half-installed dpkg 1.18.25
2019-09-08 15:04:08 status half-installed dpkg 1.18.25
2019-09-08 15:04:08 status unpacked dpkg:armel 1.18.25
2019-09-08 15:04:08 status unpacked dpkg:armel 1.18.25
2019-09-08 15:04:08 configure dpkg:armel 1.18.25 1.18.25
2019-09-08 15:04:08 status unpacked dpkg:armel 1.18.25
2019-09-08 15:04:08 status unpacked dpkg:armel 1.18.25
2019-09-08 15:04:08 status unpacked dpkg:armel 1.18.25
2019-09-08 15:04:08 status unpacked dpkg:armel 1.18.25
2019-09-08 15:04:08 status unpacked dpkg:armel 1.18.25
2019-09-08 15:04:08 status half-configured dpkg:armel 1.18.25
2019-09-08 15:04:08 status installed dpkg:armel 1.18.25
2019-09-08 15:04:08 startup archives install
2019-09-08 15:04:08 install libc6:armel <none> 2.24-11+deb9u4
2019-09-08 15:04:08 status half-installed libc6:armel 2.24-11+deb9u4
2019-09-08 15:04:12 status unpacked libc6:armel 2.24-11+deb9u4
2019-09-08 15:04:12 status unpacked libc6:armel 2.24-11+deb9u4
2019-09-08 15:04:12 configure libc6:armel 2.24-11+deb9u4 2.24-11+deb9u4
2019-09-08 15:04:12 status unpacked libc6:armel 2.24-11+deb9u4
2019-09-08 15:04:12 status unpacked libc6:armel 2.24-11+deb9u4
2019-09-08 15:04:12 status half-configured libc6:armel 2.24-11+deb9u4
2019-09-08 15:04:13 status installed libc6:armel 2.24-11+deb9u4
2019-09-08 15:04:13 startup archives install
2019-09-08 15:04:13 install perl-base:armel <none> 5.24.1-3+deb9u5
2019-09-08 15:04:13 status half-installed perl-base:armel 5.24.1-3+deb9u5
2019-09-08 15:04:14 status unpacked perl-base:armel 5.24.1-3+deb9u5
2019-09-08 15:04:14 status unpacked perl-base:armel 5.24.1-3+deb9u5
2019-09-08 15:04:14 configure perl-base:armel 5.24.1-3+deb9u5 5.24.1-3+deb9u5
2019-09-08 15:04:14 status unpacked perl-base:armel 5.24.1-3+deb9u5
2019-09-08 15:04:14 status half-configured perl-base:armel 5.24.1-3+deb9u5
2019-09-08 15:04:14 status installed perl-base:armel 5.24.1-3+deb9u5
2019-09-08 15:04:15 startup archives install
2019-09-08 15:04:15 install mawk:armel <none> 1.3.3-17+b3
2019-09-08 15:04:15 status half-installed mawk:armel 1.3.3-17+b3
2019-09-08 15:04:15 status unpacked mawk:armel 1.3.3-17+b3
2019-09-08 15:04:15 status unpacked mawk:armel 1.3.3-17+b3
2019-09-08 15:04:15 configure mawk:armel 1.3.3-17+b3 1.3.3-17+b3
2019-09-08 15:04:15 status unpacked mawk:armel 1.3.3-17+b3
2019-09-08 15:04:15 status half-configured mawk:armel 1.3.3-17+b3
2019-09-08 15:04:15 status installed mawk:armel 1.3.3-17+b3
2019-09-08 15:04:16 startup archives unpack
2019-09-08 15:04:16 install libacl1:armel <none> 2.2.52-3+b1
2019-09-08 15:04:16 status half-installed libacl1:armel 2.2.52-3+b1
2019-09-08 15:04:16 status unpacked libacl1:armel 2.2.52-3+b1
2019-09-08 15:04:16 status unpacked libacl1:armel 2.2.52-3+b1
2019-09-08 15:04:16 install libattr1:armel <none> 1:2.4.47-2+b2
2019-09-08 15:04:16 status half-installed libattr1:armel 1:2.4.47-2+b2
2019-09-08 15:04:16 status unpacked libattr1:armel 1:2.4.47-2+b2
2019-09-08 15:04:16 status unpacked libattr1:armel 1:2.4.47-2+b2
2019-09-08 15:04:16 install libaudit-common:all <none> 1:2.6.7-2
2019-09-08 15:04:16 status half-installed libaudit-common:all 1:2.6.7-2
2019-09-08 15:04:17 status unpacked libaudit-common:all 1:2.6.7-2
2019-09-08 15:04:17 status unpacked libaudit-common:all 1:2.6.7-2
2019-09-08 15:04:17 install libaudit1:armel <none> 1:2.6.7-2
2019-09-08 15:04:17 status half-installed libaudit1:armel 1:2.6.7-2
2019-09-08 15:04:17 status unpacked libaudit1:armel 1:2.6.7-2
2019-09-08 15:04:17 status unpacked libaudit1:armel 1:2.6.7-2
2019-09-08 15:04:17 upgrade base-files:armel 9.9+deb9u10 9.9+deb9u10
2019-09-08 15:04:17 status half-configured base-files:armel 9.9+deb9u10
2019-09-08 15:04:17 status unpacked base-files:armel 9.9+deb9u10
2019-09-08 15:04:17 status half-installed base-files:armel 9.9+deb9u10
2019-09-08 15:04:17 status half-installed base-files:armel 9.9+deb9u10
2019-09-08 15:04:17 status unpacked base-files:armel 9.9+deb9u10
2019-09-08 15:04:17 status unpacked base-files:armel 9.9+deb9u10
2019-09-08 15:04:17 upgrade base-passwd:armel 3.5.43 3.5.43
2019-09-08 15:04:17 status half-configured base-passwd:armel 3.5.43
2019-09-08 15:04:17 status unpacked base-passwd:armel 3.5.43
2019-09-08 15:04:17 status half-installed base-passwd:armel 3.5.43
2019-09-08 15:04:18 status half-installed base-passwd:armel 3.5.43
2019-09-08 15:04:18 status unpacked base-passwd:armel 3.5.43
2019-09-08 15:04:18 status unpacked base-passwd:armel 3.5.43
2019-09-08 15:04:18 install bash:armel <none> 4.4-5
2019-09-08 15:04:18 status half-installed bash:armel 4.4-5
2019-09-08 15:04:18 status unpacked bash:armel 4.4-5
2019-09-08 15:04:18 status unpacked bash:armel 4.4-5
2019-09-08 15:04:19 install libbz2-1.0:armel <none> 1.0.6-8.1
2019-09-08 15:04:19 status half-installed libbz2-1.0:armel 1.0.6-8.1
2019-09-08 15:04:19 status unpacked libbz2-1.0:armel 1.0.6-8.1
2019-09-08 15:04:19 status unpacked libbz2-1.0:armel 1.0.6-8.1
2019-09-08 15:04:19 install libdebconfclient0:armel <none> 0.227
2019-09-08 15:04:19 status half-installed libdebconfclient0:armel 0.227
2019-09-08 15:04:19 status unpacked libdebconfclient0:armel 0.227
2019-09-08 15:04:19 status unpacked libdebconfclient0:armel 0.227
2019-09-08 15:04:19 install coreutils:armel <none> 8.26-3
2019-09-08 15:04:19 status half-installed coreutils:armel 8.26-3
2019-09-08 15:04:20 status unpacked coreutils:armel 8.26-3
2019-09-08 15:04:20 status unpacked coreutils:armel 8.26-3
2019-09-08 15:04:20 install dash:armel <none> 0.5.8-2.4
2019-09-08 15:04:20 status half-installed dash:armel 0.5.8-2.4
2019-09-08 15:04:21 status unpacked dash:armel 0.5.8-2.4
2019-09-08 15:04:21 status unpacked dash:armel 0.5.8-2.4
2019-09-08 15:04:21 install libdb5.3:armel <none> 5.3.28-12+deb9u1
2019-09-08 15:04:21 status half-installed libdb5.3:armel 5.3.28-12+deb9u1
2019-09-08 15:04:21 status unpacked libdb5.3:armel 5.3.28-12+deb9u1
2019-09-08 15:04:21 status unpacked libdb5.3:armel 5.3.28-12+deb9u1
2019-09-08 15:04:21 install debconf:all <none> 1.5.61
2019-09-08 15:04:21 status half-installed debconf:all 1.5.61
2019-09-08 15:04:21 status unpacked debconf:all 1.5.61
2019-09-08 15:04:21 status unpacked debconf:all 1.5.61
2019-09-08 15:04:22 install debianutils:armel <none> 4.8.1.1
2019-09-08 15:04:22 status half-installed debianutils:armel 4.8.1.1
2019-09-08 15:04:22 status unpacked debianutils:armel 4.8.1.1
2019-09-08 15:04:22 status unpacked debianutils:armel 4.8.1.1
2019-09-08 15:04:22 install diffutils:armel <none> 1:3.5-3
2019-09-08 15:04:22 status half-installed diffutils:armel 1:3.5-3
2019-09-08 15:04:22 status unpacked diffutils:armel 1:3.5-3
2019-09-08 15:04:22 status unpacked diffutils:armel 1:3.5-3
2019-09-08 15:04:22 upgrade dpkg:armel 1.18.25 1.18.25
2019-09-08 15:04:22 status half-configured dpkg:armel 1.18.25
2019-09-08 15:04:22 status unpacked dpkg:armel 1.18.25
2019-09-08 15:04:22 status half-installed dpkg:armel 1.18.25
2019-09-08 15:04:23 status half-installed dpkg:armel 1.18.25
2019-09-08 15:04:23 status unpacked dpkg:armel 1.18.25
2019-09-08 15:04:23 status unpacked dpkg:armel 1.18.25
2019-09-08 15:04:23 install e2fslibs:armel <none> 1.43.4-2
2019-09-08 15:04:23 status half-installed e2fslibs:armel 1.43.4-2
2019-09-08 15:04:23 status unpacked e2fslibs:armel 1.43.4-2
2019-09-08 15:04:23 status unpacked e2fslibs:armel 1.43.4-2
2019-09-08 15:04:23 install e2fsprogs:armel <none> 1.43.4-2
2019-09-08 15:04:23 status half-installed e2fsprogs:armel 1.43.4-2
2019-09-08 15:04:24 status unpacked e2fsprogs:armel 1.43.4-2
2019-09-08 15:04:24 status unpacked e2fsprogs:armel 1.43.4-2
2019-09-08 15:04:24 install libcomerr2:armel <none> 1.43.4-2
2019-09-08 15:04:24 status half-installed libcomerr2:armel 1.43.4-2
2019-09-08 15:04:24 status unpacked libcomerr2:armel 1.43.4-2
2019-09-08 15:04:24 status unpacked libcomerr2:armel 1.43.4-2
2019-09-08 15:04:24 install libss2:armel <none> 1.43.4-2
2019-09-08 15:04:24 status half-installed libss2:armel 1.43.4-2
2019-09-08 15:04:24 status unpacked libss2:armel 1.43.4-2
2019-09-08 15:04:24 status unpacked libss2:armel 1.43.4-2
2019-09-08 15:04:24 install findutils:armel <none> 4.6.0+git+20161106-2
2019-09-08 15:04:24 status half-installed findutils:armel 4.6.0+git+20161106-2
2019-09-08 15:04:24 status unpacked findutils:armel 4.6.0+git+20161106-2
2019-09-08 15:04:24 status unpacked findutils:armel 4.6.0+git+20161106-2
2019-09-08 15:04:25 install gcc-6-base:armel <none> 6.3.0-18+deb9u1
2019-09-08 15:04:25 status half-installed gcc-6-base:armel 6.3.0-18+deb9u1
2019-09-08 15:04:25 status unpacked gcc-6-base:armel 6.3.0-18+deb9u1
2019-09-08 15:04:25 status unpacked gcc-6-base:armel 6.3.0-18+deb9u1
2019-09-08 15:04:25 install libgcc1:armel <none> 1:6.3.0-18+deb9u1
2019-09-08 15:04:25 status half-installed libgcc1:armel 1:6.3.0-18+deb9u1
2019-09-08 15:04:25 status unpacked libgcc1:armel 1:6.3.0-18+deb9u1
2019-09-08 15:04:25 status unpacked libgcc1:armel 1:6.3.0-18+deb9u1
2019-09-08 15:04:25 install libc-bin:armel <none> 2.24-11+deb9u4
2019-09-08 15:04:25 status half-installed libc-bin:armel 2.24-11+deb9u4
2019-09-08 15:04:25 status unpacked libc-bin:armel 2.24-11+deb9u4
2019-09-08 15:04:25 status unpacked libc-bin:armel 2.24-11+deb9u4
